Quarter,Actual,Projected,Label
2012 Q2,12,,
2012 Q3,160,,
2012 Q4,2650,,
2013 Q1,7550,,
2013 Q2,12700,,
2013 Q3,16800,,
2013 Q4,20300,,
2014 Q1,23489,,
2014 Q2,27089,,
2014 Q3,30989,,
2014 Q4,36989,,
2015 Q1,41292,,
2015 Q2,47605,,
2015 Q3,52451,,
2015 Q4,60867,,
2016 Q1,69657,,
2016 Q2,79785,,
2016 Q3,94379,,
2016 Q4,107880,,
2017 Q1,118280,,
2017 Q2,128020,,
2017 Q3,138596,,
2017 Q4,,201335,201K by EOY 2017
2018 Q1,,281144,
2018 Q2,,383459,
2018 Q3,,507630,
2018 Q4,,643913,